Feature,Correlation,Total Hits
!!,-0.007304818640538656,541.0
!!!,-0.008836371267430468,315.0
!!!!,-7.379730628695074E-4,29.0
!!!!!,0.0025526451094417643,7.0
!?,0.002702608868524987,157.0
!?!,-1.1360041637808323E-4,7.0
#x,-0.017223552081200817,509.0
#xa,-0.0030410329181254784,45.0
#xab,-4.4086382818839893E-4,6.0
#xad,-0.0021261471032678323,8.0
#xb,-0.0029149083582733232,54.0
#xbb,-0.0012641884221326336,6.0
#xbd,-0.0015991960232498734,33.0
#xbf,-0.0015991960232498734,33.0
#xc,3.9215755142587265E-4,22.0
#xe,-0.0037247187207725334,131.0
#xee,-0.004375538310660384,9.0
#xef,-0.0011373958141997367,34.0
#xf,-0.0040286040731194435,20.0
#xfa,-0.003572579275316084,6.0
#xfb,-0.0030939302090597083,5.0
--,-0.007764210531840854,11028.0
-lsb-,-0.01549989202285394,220.0
-rsb-,-0.01620469250727238,238.0
.22,-0.003572579275316084,6.0
.38,-0.006357704315665568,19.0
.45,-0.0048956568686743685,12.0
.50,-0.0030939302090597083,5.0
0,-0.0012924344852419923,57.0
1,-0.006822056332276107,157.0
10,-0.0018569352209311498,51.0
100,-0.004226065858664604,47.0
1000,1.7948716192517193E-4,14.0
10000,-0.004837369214595186,11.0
100000,-0.0012641884221326336,6.0
101,-7.325860373347501E-4,5.0
11,-0.003224572937740822,22.0
111,-0.0017216772693486693,7.0
12,-0.0035531306239501084,33.0
125,-0.003572579275316084,6.0
13,-0.001313192164957445,10.0
13th,-0.003572579275316084,6.0
14,-0.0021222542241039967,13.0
14th,-0.0017216772693486693,7.0
15,0.001019506302602938,31.0
150,-0.003946105036572254,14.0
1500,-0.0034031594388789703,6.0
15000,-7.325860373347501E-4,5.0
16,-0.004837369214595186,11.0
17,-9.236379584965823E-4,14.0
17th,-0.0015183694038001024,6.0
18,-0.0013203360639288714,23.0
180,-0.003858838458765724,7.0
18th,-7.325860373347501E-4,5.0
19,-0.0010360489603740833,10.0
1938,-0.0032612937835676276,5.0
1958,-0.0032612937835676276,5.0
1961,4.1548392002559566E-4,7.0
1962,3.6642063133577723E-4,6.0
1964,-7.325860373347501E-4,5.0
1967,-0.0019016744710306616,7.0
1969,-0.0021261471032678323,8.0
1976,-0.004612236463339998,10.0
1981,0.0017961217088719001,5.0
19th,-7.325860373347501E-4,5.0
2,-0.004539088545447801,143.0
20,-0.0032650464536208013,45.0
200,-0.002465938488792004,19.0
2000,-0.0036905305845837373,13.0
20s,4.1548392002559566E-4,7.0
20th,0.0025526451094417643,7.0
21,0.003352593284258052,6.0
21st,-0.0017216772693486693,7.0
22,-1.555564420464685E-4,12.0
23,4.1548392002559566E-4,7.0
23rd,-6.059172289635534E-4,9.0
24,0.002006573673706344,23.0
25,-0.002982160257526068,21.0
250,-0.0021261471032678323,8.0
26,-0.0017216772693486693,7.0
28,0.004389632564193927,11.0
2nd,0.0017961217088719001,5.0
3,-0.004723865003644269,59.0
30,-0.0025149277413297182,54.0
300,-0.0041889046087031515,15.0
3000,-0.0012641884221326336,6.0
30s,-0.0010360489603740833,10.0
31,-0.0034031594388789703,6.0
32,-0.003572579275316084,6.0
33,-7.325860373347501E-4,5.0
35,-0.002465938488792004,19.0
36,-0.0031664492513660022,11.0
360,-0.0021261471032678323,8.0
37,3.6642063133577723E-4,6.0
38,0.0017961217088719001,5.0
3rd,-0.0032612937835676276,5.0
4,-0.001038430241217756,39.0
40,-0.004636919170813743,23.0
400,-1.2700974844286034E-4,8.0
40000,-7.325860373347501E-4,5.0
40s,-0.003132483499680388,11.0
412\/l,-0.0032612937835676276,5.0
42,0.006826967488250917,7.0
43,-0.0028814508067470305,10.0
45,-0.0037631937644149647,19.0
47,-0.0012641884221326336,6.0
48,-4.844350543199283E-4,11.0
4th,-6.059172289635534E-4,9.0
5,-0.0013258699633764343,44.0
50,-0.004625963597248782,34.0
500,-0.0037631937644149647,19.0
5000,-0.003858838458765724,7.0
50000,-0.0021261471032678323,8.0
51,-0.0032612937835676276,5.0
53,-0.001263353233555547,5.0
55,0.0015752973867268491,5.0
57,-0.0012641884221326336,6.0
58,-0.0030782642108579507,5.0
59,-0.0012641884221326336,6.0
6,-0.0036252720089010736,28.0
60,-0.006098153571652434,25.0
600,-0.0032612937835676276,5.0
60s,0.0017961217088719001,5.0
64,-0.0017216772693486693,7.0
65,-0.0032612937835676276,5.0
66,-0.003572579275316084,6.0
68,-0.0034031594388789703,6.0
69,-0.0032612937835676276,5.0
7,-0.0036211696263390714,86.0
7-11,-0.0019016744710306616,7.0
70,-0.003132483499680388,11.0
72,-0.0021261471032678323,8.0
75,-0.004375538310660384,9.0
7th,0.0017961217088719001,5.0
8,-0.002580663847301819,28.0
80,-0.0037319297334076815,74.0
800,-7.325860373347501E-4,5.0
806,0.006853537201305671,5.0
82,-0.0017216772693486693,7.0
85,-0.00396088026907216,25.0
86,-0.003858838458765724,7.0
88,-0.003640637090197436,7.0
9,-0.003437810892401943,85.0
90,-7.787852978045298E-4,21.0
91,-0.0027902578640501773,9.0
911,-9.236379584965823E-4,14.0
92,-0.01435152090340749,171.0
94,-0.0012641884221326336,6.0
96,-0.01287767240862438,214.0
97,0.0035034006754312173,36.0
98,0.0059008489273146,11.0
99,-0.0036905305845837373,13.0
9e,-0.0016329822313759191,14.0
9mm,0.0017961217088719001,5.0
:-rrb-,-0.0023482277913821586,71.0
;d,-0.003572579275316084,6.0
</h1>,-1.2700974844286034E-4,8.0
</i>,-0.009141235370262974,122.0
</p>,-0.0033817143010474423,21.0
</pre>,0.0012788933118264667,9.0
</td>,-1.2700974844286034E-4,8.0
</u>,0.0050692590245723325,344.0
<br>,0.011288177776081668,1806.0
<h1>,-1.2700974844286034E-4,8.0
<i>,-0.009065228895272767,121.0
<p>,-0.0033997956310448073,20.0
"<p id=""act"">",-0.003320008122262064,18.0
"<p id=""dia"">",-0.0034126011410972536,18.0
"<p id=""right"">",-0.0020723932135073616,7.0
"<p id=""slug"">",-0.0020330538352098283,11.0
"<p id=""speaker"">",-0.0035338781585170192,18.0
"<p id=""spkdir"">",-0.002132289136576002,12.0
"<table width=""85%"" border=""0"" align=""center"" cellpadding=""5"" cellspacing=""0"" class=""body"" style=""border-top: #000000 1px solid; border-right: #000000 1px solid; border-left: #000000 1px solid; border-bottom: #000000 1px solid;"">",-1.2700974844286034E-4,8.0
<td>,-1.2700974844286034E-4,8.0
"<td align=""center"">",-1.2700974844286034E-4,8.0
<tr>,-1.2700974844286034E-4,8.0
<u>,0.0050692590245723325,344.0
=,0.004101823004969148,23.0
?!,0.003381394153820554,1008.0
?!!,-0.004110423070373378,26.0
?!!!,-0.004375538310660384,9.0
?!?,-0.005252248608396889,32.0
??,-0.003493425816526397,126.0
??!!,-0.003572579275316084,6.0
???,-0.004039384006085341,36.0
\*,0.0024169950512106576,726.0
_,0.006434519745350273,50.0
__,-0.0036897485257064095,7.0
a,-0.024638026813582226,33395.0
a.,-0.001642924630848579,135.0
a.d.,-0.003572579275316084,6.0
a.k.a.,-9.600933779718554E-5,6.0
a.m.,-0.0032089655514366097,36.0
aaaaaa,4.1548392002559566E-4,7.0
aah,0.0017961217088719001,5.0
aames,-0.0016552328882685008,11.0
aaron,0.002327996396039443,20.0
